2017-12-18 11:54:24  /entrypoint.sh: static: does not generate config
HEALTH_WARN too few PGs per OSD (21 < min 30)
2017-12-18 11:54:24  /entrypoint.sh: static: does not generate the admin key, so we can not get it.
2017-12-18 11:54:24  /entrypoint.sh: static: make it available with the help of your configuration management system.
2017-12-18 11:54:24  /entrypoint.sh: static: ceph-ansible is a good candidate to deploy a containerized version of Ceph.
2017-12-18 11:54:24  /entrypoint.sh: static: ceph-ansible will help you fetching the keys and push them on the right nodes.
2017-12-18 11:54:24  /entrypoint.sh: static: if you're interested, please visit: https://github.com/ceph/ceph-ansible
pool 'cephfs_data' created
pool 'cephfs_metadata' created
new fs with metadata pool 2 and data pool 1
2017-12-18 11:54:27  /entrypoint.sh: SUCCESS
2017-12-18 11:54:27.280598 7f40b0b36300  0 set uid:gid to 64045:64045 (ceph:ceph)
2017-12-18 11:54:27.280619 7f40b0b36300  0 ceph version 9.0.0-18997-g8adf01b (8adf01b98af39502aa7fe3d10c4b19935508eaa7), process ceph-mds, pid 236
starting mds.node-4 at -
2017-12-18 11:54:27.281738 7f40b0b36300  0 pidfile_write: ignore empty --pid-file
2017-12-18 11:55:31.818908 7f40ab4b3700  0 -- 10.10.1.5:6800/647542124 >> - conn(0x7f40b9d04000 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-12-18 11:55:31.940941 7f40ab4b3700  0 -- 10.10.1.5:6800/647542124 >> - conn(0x7f40b9c79000 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-12-18 11:55:31.958055 7f40ab4b3700  0 -- 10.10.1.5:6800/647542124 >> - conn(0x7f40b9c77800 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-12-18 11:55:32.011083 7f40ab4b3700  0 -- 10.10.1.5:6800/647542124 >> - conn(0x7f40b9c7a800 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-12-18 11:55:46.226692 7f40abcb4700  0 -- 10.10.1.5:6800/647542124 >> - conn(0x7f40b9d0e000 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-12-18 11:55:46.298102 7f40abcb4700  0 -- 10.10.1.5:6800/647542124 >> - conn(0x7f40b9d1c800 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-12-18 11:55:46.400659 7f40abcb4700  0 -- 10.10.1.5:6800/647542124 >> - conn(0x7f40b9d32800 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-12-18 11:55:46.467083 7f40abcb4700  0 -- 10.10.1.5:6800/647542124 >> - conn(0x7f40b9d31000 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-12-18 11:55:46.470956 7f40abcb4700  0 -- 10.10.1.5:6800/647542124 >> - conn(0x7f40b9d2f800 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-12-18 11:55:46.519107 7f40abcb4700  0 -- 10.10.1.5:6800/647542124 >> - conn(0x7f40b9d32800 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
